BirdID,Status,BreedGroupID,NestWatchID,WatchDate,Month,Year,StartTime,Behaviour,ProvisioningVisit,ObsDuration,SexEstimate,Age,TerritoryID,TQ,TQcorrected,ClutchSize,BroodSize,NoFledglings,WatchType,NestID,NestNumber,Island,FieldPeriodID,HelperNumber,AdditionalBirds,GroupSize,Accurate,Observer
5634,BrF,7123,1638,08/09/2015,09,2015,07:54,FeedingOffspring,2,60,0,1729,165,49792.99,49792.99,1,1,1,FI,3609,3,CN,142,0,2,4,TRUE,FG
5634,BrF,7783,2549,30/08/2017,08,2017,08:11,FeedingOffspring,12,60,0,2451,165,29038.84,29038.84,2,2,2,FI,4962,2,CN,164,1,0,3,TRUE,CBC
5634,BrF,7783,2551,06/09/2017,09,2017,10:07,FeedingOffspring,13,60,0,2458,165,29038.84,29038.84,2,2,2,F,4962,2,CN,164,1,0,3,TRUE,CBC
5635,BrF,6428,1223,05/02/2014,02,2014,10:55,FeedingOffspring,6,60,0,1147,481,33858.90,33858.90,1,1,1,F,2832,1,CN,124,1,0,3,TRUE,FG
5635,BrF,6428,1245,16/02/2014,02,2014,08:53,FeedingOffspring,5,60,0,1158,481,33858.90,33858.90,1,1,1,FI,2832,1,CN,124,1,0,3,TRUE,HE
5635,BrF,6719,1467,02/09/2014,09,2014,16:08,FeedingOffspring,12,60,0,1356,481,26887.43,26887.43,1,1,1,F,3144,2,CN,125,2,0,4,TRUE,SAK
5635,BrF,6719,1497,29/08/2014,08,2014,16:37,FeedingOffspring,6,60,0,1352,481,26887.43,26887.43,1,1,1,F,3144,2,CN,125,2,0,4,TRUE,KLB
5635,BrF,7566,2483,15/09/2016,09,2016,07:13,FeedingOffspring,5,60,0,2100,481,40951.08,40951.08,1,1,0,FI,4888,2,CN,159,1,0,3,TRUE,KLB
5635,BrF,7959,2561,24/07/2018,07,2018,07:51,FeedingOffspring,1,60,0,2777,481,9981.79,9981.79,1,1,1,FI,5097,1,CN,167,0,0,2,TRUE,CD
5635,BrF,7959,2578,19/07/2018,07,2018,11:52,FeedingOffspring,7,60,0,2772,481,9981.79,9981.79,1,1,1,F,5097,1,CN,167,0,0,2,TRUE,AVE
