BirdID,Status,SexEstimate,BreedGroupID,NestWatchID,WatchDate,Month,Year,StartTime,Behaviour,ProvisioningVisit,ObsDuration,Age,TerritoryID,TQ,TQcorrected,ClutchSize,BroodSize,NoFledglings,WatchType,NestNumber,Island,FieldPeriodID,Accurate,HelperNumber,AdditionalBirds,GroupSize
4861,BrF,0,5081,852,07/08/2011,8,2011,16:20,Feeding_Offspring,10,60,1850,159,21570.51,21570.51,1,1,1,F,1,CN,105,TRUE,2,1,5
5116,BrM,1,5081,852,07/08/2011,8,2011,16:20,Feeding_Offspring,11,60,1696,159,21570.51,21570.51,1,1,1,F,1,CN,105,TRUE,2,1,5
2960,BrM,1,5087,862,17/08/2011,8,2011,08:13,Feeding_Offspring,10,60,2881,2,73533.58,73533.58,1,1,1,FI,1,CN,105,TRUE,1,1,4
5267,BrF,0,5087,862,17/08/2011,8,2011,08:13,Feeding_Offspring,11,60,1336,2,73533.58,73533.58,1,1,1,FI,1,CN,105,TRUE,1,1,4
2966,BrM,1,5097,866,24/08/2011,8,2011,16:16,Feeding_Offspring,12,60,2736,24,67143.48,67143.48,1,1,1,F,1,CN,105,TRUE,0,0,2
5164,BrF,0,5097,866,24/08/2011,8,2011,16:16,Feeding_Offspring,9,60,1404,24,67143.48,67143.48,1,1,1,F,1,CN,105,TRUE,0,0,2
4917,BrF,0,5123,867,26/08/2011,8,2011,14:23,Feeding_Offspring,16,60,1820,71,47765.05,47765.05,1,1,1,F,2,CN,105,TRUE,1,0,3
5144,BrM,1,5123,867,26/08/2011,8,2011,14:23,Feeding_Offspring,10,60,1460,71,47765.05,47765.05,1,1,1,F,2,CN,105,TRUE,1,0,3
1415,BrF,0,5085,868,27/08/2011,8,2011,13:36,Feeding_Offspring,5,60,4754,39,42700.42,42700.42,1,1,1,F,1,CN,105,TRUE,0,0,2
4890,BrM,1,5085,868,27/08/2011,8,2011,13:36,Feeding_Offspring,4,60,1839,39,42700.42,42700.42,1,1,1,F,1,CN,105,TRUE,0,0,2
1604,BrM,1,5131,869,27/08/2011,8,2011,15:28,Feeding_Offspring,7,60,3947,83,43888.08,43888.08,1,1,1,FI,1,CN,105,TRUE,0,1,3
3567,BrF,0,5131,869,27/08/2011,8,2011,15:28,Feeding_Offspring,4,60,2439,83,43888.08,43888.08,1,1,1,FI,1,CN,105,TRUE,0,1,3
1765,BrF,0,5109,871,29/08/2011,8,2011,15:35,Feeding_Offspring,7,60,3367,47,42565.27,42565.27,1,1,1,F,2,CN,105,TRUE,2,0,4
5513,BrM,1,5109,871,29/08/2011,8,2011,15:35,Feeding_Offspring,11,60,654,47,42565.27,42565.27,1,1,1,F,2,CN,105,TRUE,2,0,4
5337,BrF,0,5121,872,03/09/2011,9,2011,15:07,Feeding_Offspring,7,60,843,68,20777.74,20777.74,1,1,1,F,2,CN,105,TRUE,1,0,3
5508,BrM,1,5121,872,03/09/2011,9,2011,15:07,Feeding_Offspring,5,60,657,68,20777.74,20777.74,1,1,1,F,2,CN,105,TRUE,1,0,3
3606,BrF,0,5143,873,05/09/2011,9,2011,15:38,Feeding_Offspring,5,60,2211,100,11847.21,11847.21,1,1,1,F,2,CN,105,TRUE,0,2,4
5497,BrM,1,5143,873,05/09/2011,9,2011,15:38,Feeding_Offspring,6,60,678,100,11847.21,11847.21,1,1,1,F,2,CN,105,TRUE,0,2,4
1580,BrF,0,5146,874,17/09/2011,9,2011,11:34,Feeding_Offspring,4,60,4121,109,61737.4,61737.4,1,1,1,F,2,CN,105,TRUE,0,0,2
